teamCode,dist_bin,primary_goal_prob,rebound_creation_prob,secondary_xg_yield
MTL,63-66 ft,0.0238095238095238,0.0238095238095238,0.1767669198125004
MTL,66-69 ft,0.0,0.0625,0.1536475609914699
NJD,0-6 ft,0.2083333333333333,0.1666666666666666,0.2442211456007594
NJD,6-9 ft,0.1428571428571428,0.1428571428571428,0.2244653060670102
NJD,9-12 ft,0.1226993865030674,0.1165644171779141,0.2149921337034213
NJD,12-15 ft,0.0967741935483871,0.0806451612903225,0.2085985634944435
NJD,15-18 ft,0.1118012422360248,0.0559006211180124,0.1955342241988078
NJD,18-21 ft,0.0625,0.0803571428571428,0.1911699597523295
NJD,21-24 ft,0.064,0.072,0.1959841844069211
NJD,24-27 ft,0.0920245398773006,0.0490797546012269,0.1955305279462044
NJD,27-30 ft,0.0526315789473684,0.0643274853801169,0.1918460044918295
NJD,30-33 ft,0.0710382513661202,0.081967213114754,0.1798510150158017
NJD,33-36 ft,0.0542168674698795,0.0481927710843373,0.1758227303880538
NJD,36-39 ft,0.0482758620689655,0.0620689655172413,0.1892109722076919
NJD,39-42 ft,0.0457516339869281,0.0326797385620915,0.1821118261802267
NJD,42-45 ft,0.0279720279720279,0.0839160839160839,0.174613015840555
NJD,45-48 ft,0.0153846153846153,0.0615384615384615,0.1631306481548726
NJD,48-51 ft,0.0392156862745098,0.0686274509803921,0.184222685479716
NJD,51-54 ft,0.0091743119266055,0.0458715596330275,0.17079010909642
NJD,54-57 ft,0.0145985401459854,0.0802919708029197,0.1845545286144094
NJD,57-60 ft,0.0,0.0571428571428571,0.1765286798608058
NJD,60-63 ft,0.0,0.0853658536585365,0.1719082293681414
NJD,63-66 ft,0.0,0.0555555555555555,0.1767669198125004
NJD,66-69 ft,0.0392156862745098,0.0784313725490196,0.1536475609914699
NSH,0-6 ft,0.2,0.0,0.2442211456007594
NSH,6-9 ft,0.0952380952380952,0.1587301587301587,0.2244653060670102
NSH,9-12 ft,0.1210191082802547,0.0764331210191082,0.2149921337034213
NSH,12-15 ft,0.0632911392405063,0.0759493670886076,0.2085985634944435
NSH,15-18 ft,0.0697674418604651,0.1085271317829457,0.1955342241988078
NSH,18-21 ft,0.0466666666666666,0.0666666666666666,0.1911699597523295
NSH,21-24 ft,0.0434782608695652,0.108695652173913,0.1959841844069211
NSH,24-27 ft,0.0546875,0.0703125,0.1955305279462044
NSH,27-30 ft,0.0826446280991735,0.0826446280991735,0.1918460044918295
NSH,30-33 ft,0.0571428571428571,0.0785714285714285,0.1798510150158017
NSH,33-36 ft,0.0431654676258992,0.0935251798561151,0.1758227303880538
NSH,36-39 ft,0.0306122448979591,0.0204081632653061,0.1892109722076919
NSH,39-42 ft,0.0114942528735632,0.0459770114942528,0.1821118261802267
NSH,42-45 ft,0.0,0.0608695652173913,0.174613015840555
NSH,45-48 ft,0.0101010101010101,0.0202020202020202,0.1631306481548726
NSH,48-51 ft,0.0,0.036144578313253,0.184222685479716
NSH,51-54 ft,0.0317460317460317,0.0793650793650793,0.17079010909642
NSH,54-57 ft,0.0193548387096774,0.064516129032258,0.1845545286144094
NSH,57-60 ft,0.0091743119266055,0.0458715596330275,0.1765286798608058
NSH,60-63 ft,0.0096153846153846,0.0673076923076923,0.1719082293681414
NSH,63-66 ft,0.0151515151515151,0.0303030303030303,0.1767669198125004
NSH,66-69 ft,0.0,0.0,0.1536475609914699
NYI,0-6 ft,0.0303030303030303,0.2727272727272727,0.2442211456007594
NYI,6-9 ft,0.125,0.1447368421052631,0.2244653060670102
NYI,9-12 ft,0.1208791208791208,0.0879120879120879,0.2149921337034213
NYI,12-15 ft,0.0983606557377049,0.1584699453551912,0.2085985634944435
NYI,15-18 ft,0.0901639344262295,0.0573770491803278,0.1955342241988078
NYI,18-21 ft,0.0763358778625954,0.0839694656488549,0.1911699597523295
NYI,21-24 ft,0.0875,0.0375,0.1959841844069211
NYI,24-27 ft,0.1111111111111111,0.0683760683760683,0.1955305279462044
NYI,27-30 ft,0.0895522388059701,0.1119402985074626,0.1918460044918295
NYI,30-33 ft,0.087719298245614,0.1052631578947368,0.1798510150158017
NYI,33-36 ft,0.0625,0.0714285714285714,0.1758227303880538
NYI,36-39 ft,0.0806451612903225,0.0483870967741935,0.1892109722076919
NYI,39-42 ft,0.0272727272727272,0.0727272727272727,0.1821118261802267
NYI,42-45 ft,0.03,0.08,0.174613015840555
NYI,45-48 ft,0.0098039215686274,0.0392156862745098,0.1631306481548726
NYI,48-51 ft,0.0375,0.05,0.184222685479716
NYI,51-54 ft,0.0196078431372549,0.0196078431372549,0.17079010909642
NYI,54-57 ft,0.0157480314960629,0.0551181102362204,0.1845545286144094
NYI,57-60 ft,0.02,0.06,0.1765286798608058
NYI,60-63 ft,0.0189873417721519,0.050632911392405,0.1719082293681414
NYI,63-66 ft,0.0377358490566037,0.0660377358490566,0.1767669198125004
NYI,66-69 ft,0.0,0.0338983050847457,0.1536475609914699
NYR,0-6 ft,0.1428571428571428,0.1428571428571428,0.2442211456007594
NYR,6-9 ft,0.1666666666666666,0.1066666666666666,0.2244653060670102
NYR,9-12 ft,0.0957446808510638,0.0638297872340425,0.2149921337034213
NYR,12-15 ft,0.1006711409395973,0.0805369127516778,0.2085985634944435
NYR,15-18 ft,0.1103896103896103,0.0909090909090909,0.1955342241988078
NYR,18-21 ft,0.1224489795918367,0.0748299319727891,0.1911699597523295
NYR,21-24 ft,0.1495327102803738,0.0373831775700934,0.1959841844069211
NYR,24-27 ft,0.0977443609022556,0.037593984962406,0.1955305279462044
NYR,27-30 ft,0.0660377358490566,0.0471698113207547,0.1918460044918295
NYR,30-33 ft,0.0515463917525773,0.0463917525773195,0.1798510150158017
NYR,33-36 ft,0.02803738317757,0.0186915887850467,0.1758227303880538
NYR,36-39 ft,0.0245901639344262,0.0245901639344262,0.1892109722076919
NYR,39-42 ft,0.0426829268292682,0.024390243902439,0.1821118261802267
NYR,42-45 ft,0.0176991150442477,0.079646017699115,0.174613015840555
NYR,45-48 ft,0.0272727272727272,0.0181818181818181,0.1631306481548726
NYR,48-51 ft,0.0198019801980198,0.0693069306930693,0.184222685479716
NYR,51-54 ft,0.0388349514563106,0.029126213592233,0.17079010909642
NYR,54-57 ft,0.0,0.0390625,0.1845545286144094
NYR,57-60 ft,0.0229885057471264,0.0689655172413793,0.1765286798608058
NYR,60-63 ft,0.0131578947368421,0.0263157894736842,0.1719082293681414
NYR,63-66 ft,0.0149253731343283,0.0298507462686567,0.1767669198125004
NYR,66-69 ft,0.0,0.108695652173913,0.1536475609914699
OTT,0-6 ft,0.1153846153846153,0.1538461538461538,0.2442211456007594
OTT,6-9 ft,0.0962962962962963,0.1555555555555555,0.2244653060670102
OTT,9-12 ft,0.1216216216216216,0.0608108108108108,0.2149921337034213
OTT,12-15 ft,0.1168831168831168,0.0909090909090909,0.2085985634944435
OTT,15-18 ft,0.1020408163265306,0.0680272108843537,0.1955342241988078
OTT,18-21 ft,0.0714285714285714,0.1,0.1911699597523295
OTT,21-24 ft,0.0909090909090909,0.0495867768595041,0.1959841844069211
OTT,24-27 ft,0.05625,0.01875,0.1955305279462044
OTT,27-30 ft,0.1264367816091954,0.0804597701149425,0.1918460044918295
OTT,30-33 ft,0.0566037735849056,0.0440251572327044,0.1798510150158017
OTT,33-36 ft,0.0,0.0703125,0.1758227303880538
OTT,36-39 ft,0.0620155038759689,0.0232558139534883,0.1892109722076919
OTT,39-42 ft,0.0305343511450381,0.0610687022900763,0.1821118261802267
OTT,42-45 ft,0.0076923076923076,0.0384615384615384,0.174613015840555
OTT,45-48 ft,0.0104166666666666,0.0520833333333333,0.1631306481548726
OTT,48-51 ft,0.027027027027027,0.009009009009009,0.184222685479716
OTT,51-54 ft,0.0080645161290322,0.064516129032258,0.17079010909642
OTT,54-57 ft,0.0082644628099173,0.0743801652892562,0.1845545286144094
OTT,57-60 ft,0.0,0.09,0.1765286798608058
OTT,60-63 ft,0.0,0.072289156626506,0.1719082293681414
OTT,63-66 ft,0.0,0.0545454545454545,0.1767669198125004
OTT,66-69 ft,0.0068906115417743,0.0482342807924203,0.1536475609914699
PHI,0-6 ft,0.1944444444444444,0.1944444444444444,0.2442211456007594
PHI,6-9 ft,0.1748251748251748,0.1188811188811188,0.2244653060670102
PHI,9-12 ft,0.074074074074074,0.1296296296296296,0.2149921337034213
PHI,12-15 ft,0.0555555555555555,0.0902777777777777,0.2085985634944435
PHI,15-18 ft,0.0944881889763779,0.0787401574803149,0.1955342241988078
PHI,18-21 ft,0.1188118811881188,0.1089108910891089,0.1911699597523295
PHI,21-24 ft,0.0671641791044776,0.0895522388059701,0.1959841844069211
PHI,24-27 ft,0.072992700729927,0.0364963503649635,0.1955305279462044
PHI,27-30 ft,0.0526315789473684,0.0601503759398496,0.1918460044918295
PHI,30-33 ft,0.0444444444444444,0.0814814814814814,0.1798510150158017
PHI,33-36 ft,0.045045045045045,0.063063063063063,0.1758227303880538
PHI,36-39 ft,0.0196078431372549,0.0392156862745098,0.1892109722076919
PHI,39-42 ft,0.0454545454545454,0.0727272727272727,0.1821118261802267
PHI,42-45 ft,0.0212765957446808,0.0212765957446808,0.174613015840555
PHI,45-48 ft,0.0234375,0.0546875,0.1631306481548726
PHI,48-51 ft,0.0232558139534883,0.0310077519379844,0.184222685479716
PHI,51-54 ft,0.0089285714285714,0.0178571428571428,0.17079010909642
PHI,54-57 ft,0.0265486725663716,0.0530973451327433,0.1845545286144094
PHI,57-60 ft,0.0,0.0551181102362204,0.1765286798608058
PHI,60-63 ft,0.0,0.0352941176470588,0.1719082293681414
PHI,63-66 ft,0.0149253731343283,0.0149253731343283,0.1767669198125004
PHI,66-69 ft,0.0,0.0256410256410256,0.1536475609914699
PIT,0-6 ft,0.3333333333333333,0.2333333333333333,0.2442211456007594
PIT,6-9 ft,0.1045751633986928,0.1176470588235294,0.2244653060670102
PIT,9-12 ft,0.1259842519685039,0.1102362204724409,0.2149921337034213
PIT,12-15 ft,0.075268817204301,0.1290322580645161,0.2085985634944435
PIT,15-18 ft,0.1058823529411764,0.1352941176470588,0.1955342241988078
PIT,18-21 ft,0.0606060606060606,0.0727272727272727,0.1911699597523295
PIT,21-24 ft,0.0681818181818181,0.0909090909090909,0.1959841844069211
PIT,24-27 ft,0.079136690647482,0.0719424460431654,0.1955305279462044
PIT,27-30 ft,0.0252100840336134,0.0504201680672268,0.1918460044918295
PIT,30-33 ft,0.0676691729323308,0.0526315789473684,0.1798510150158017
PIT,33-36 ft,0.0714285714285714,0.0793650793650793,0.1758227303880538
PIT,36-39 ft,0.0192307692307692,0.0769230769230769,0.1892109722076919
PIT,39-42 ft,0.0131578947368421,0.0460526315789473,0.1821118261802267
PIT,42-45 ft,0.0743801652892562,0.0743801652892562,0.174613015840555
PIT,45-48 ft,0.0094339622641509,0.0943396226415094,0.1631306481548726
PIT,48-51 ft,0.0,0.0967741935483871,0.184222685479716
PIT,51-54 ft,0.0,0.0404040404040404,0.17079010909642
PIT,54-57 ft,0.0,0.08,0.1845545286144094
PIT,57-60 ft,0.0150375939849624,0.0526315789473684,0.1765286798608058
PIT,60-63 ft,0.0080645161290322,0.0241935483870967,0.1719082293681414
PIT,63-66 ft,0.03125,0.03125,0.1767669198125004
PIT,66-69 ft,0.0192307692307692,0.0192307692307692,0.1536475609914699
SEA,0-6 ft,0.303030303030303,0.1515151515151515,0.2442211456007594
SEA,6-9 ft,0.1235294117647058,0.1176470588235294,0.2244653060670102
SEA,9-12 ft,0.1839080459770115,0.0919540229885057,0.2149921337034213
SEA,12-15 ft,0.0915032679738562,0.0784313725490196,0.2085985634944435
SEA,15-18 ft,0.08130081300813,0.024390243902439,0.1955342241988078
SEA,18-21 ft,0.0955882352941176,0.0955882352941176,0.1911699597523295
SEA,21-24 ft,0.1240310077519379,0.0387596899224806,0.1959841844069211
SEA,24-27 ft,0.0787401574803149,0.0472440944881889,0.1955305279462044
SEA,27-30 ft,0.0849673202614379,0.0392156862745098,0.1918460044918295
SEA,30-33 ft,0.0802139037433155,0.0748663101604278,0.1798510150158017
SEA,33-36 ft,0.0757575757575757,0.053030303030303,0.1758227303880538
SEA,36-39 ft,0.0425531914893617,0.0425531914893617,0.1892109722076919
SEA,39-42 ft,0.0256410256410256,0.0598290598290598,0.1821118261802267
SEA,42-45 ft,0.0522388059701492,0.0298507462686567,0.174613015840555
SEA,45-48 ft,0.0364963503649635,0.0145985401459854,0.1631306481548726
SEA,48-51 ft,0.0185185185185185,0.074074074074074,0.184222685479716
SEA,51-54 ft,0.0347222222222222,0.0625,0.17079010909642
SEA,54-57 ft,0.0333333333333333,0.025,0.1845545286144094
SEA,57-60 ft,0.0188679245283018,0.1037735849056603,0.1765286798608058
SEA,60-63 ft,0.0,0.0285714285714285,0.1719082293681414
SEA,63-66 ft,0.0,0.0,0.1767669198125004
SEA,66-69 ft,0.0,0.1,0.1536475609914699
SJS,0-6 ft,0.108695652173913,0.108695652173913,0.2442211456007594
SJS,6-9 ft,0.1038251366120218,0.1366120218579235,0.2244653060670102
SJS,9-12 ft,0.0816326530612244,0.1360544217687075,0.2149921337034213
SJS,12-15 ft,0.1159420289855072,0.108695652173913,0.2085985634944435
SJS,15-18 ft,0.0458715596330275,0.091743119266055,0.1955342241988078
SJS,18-21 ft,0.0551181102362204,0.0314960629921259,0.1911699597523295
SJS,21-24 ft,0.0763358778625954,0.0458015267175572,0.1959841844069211
SJS,24-27 ft,0.0700636942675159,0.0891719745222929,0.1955305279462044
SJS,27-30 ft,0.078125,0.046875,0.1918460044918295
SJS,30-33 ft,0.0652173913043478,0.072463768115942,0.1798510150158017
SJS,33-36 ft,0.053030303030303,0.0606060606060606,0.1758227303880538
SJS,36-39 ft,0.025,0.025,0.1892109722076919
SJS,39-42 ft,0.0163934426229508,0.0573770491803278,0.1821118261802267
SJS,42-45 ft,0.0373134328358208,0.0597014925373134,0.174613015840555
SJS,45-48 ft,0.0258620689655172,0.0344827586206896,0.1631306481548726
SJS,48-51 ft,0.032258064516129,0.053763440860215,0.184222685479716
SJS,51-54 ft,0.0194174757281553,0.0485436893203883,0.17079010909642
SJS,54-57 ft,0.0112359550561797,0.0786516853932584,0.1845545286144094
SJS,57-60 ft,0.0112359550561797,0.0898876404494382,0.1765286798608058
SJS,60-63 ft,0.0147058823529411,0.0147058823529411,0.1719082293681414
SJS,63-66 ft,0.0238095238095238,0.119047619047619,0.1767669198125004
SJS,66-69 ft,0.0,0.0,0.1536475609914699
STL,0-6 ft,0.1687898089171974,0.1560509554140127,0.2442211456007594
STL,6-9 ft,0.1596638655462184,0.1092436974789916,0.2244653060670102
STL,9-12 ft,0.1055900621118012,0.0683229813664596,0.2149921337034213
STL,12-15 ft,0.0866141732283464,0.0708661417322834,0.2085985634944435
STL,15-18 ft,0.0944881889763779,0.0393700787401574,0.1955342241988078
STL,18-21 ft,0.125,0.0666666666666666,0.1911699597523295
STL,21-24 ft,0.1623931623931624,0.0512820512820512,0.1959841844069211
STL,24-27 ft,0.0849056603773584,0.0283018867924528,0.1955305279462044
STL,27-30 ft,0.0884955752212389,0.0353982300884955,0.1918460044918295
STL,30-33 ft,0.0821917808219178,0.0342465753424657,0.1798510150158017
STL,33-36 ft,0.064516129032258,0.032258064516129,0.1758227303880538
STL,36-39 ft,0.0851063829787234,0.0638297872340425,0.1892109722076919
STL,39-42 ft,0.032520325203252,0.024390243902439,0.1821118261802267
STL,42-45 ft,0.0330578512396694,0.0909090909090909,0.174613015840555
STL,45-48 ft,0.0192307692307692,0.0576923076923076,0.1631306481548726
STL,48-51 ft,0.0172413793103448,0.0344827586206896,0.184222685479716
STL,51-54 ft,0.0217391304347826,0.0326086956521739,0.17079010909642
STL,54-57 ft,0.0094339622641509,0.0377358490566037,0.1845545286144094
STL,57-60 ft,0.0166666666666666,0.05,0.1765286798608058
STL,60-63 ft,0.0,0.05,0.1719082293681414
STL,63-66 ft,0.0142857142857142,0.0285714285714285,0.1767669198125004
STL,66-69 ft,0.0,0.0909090909090909,0.1536475609914699
TBL,0-6 ft,0.1687898089171974,0.1560509554140127,0.2442211456007594
TBL,6-9 ft,0.1656050955414012,0.0828025477707006,0.2244653060670102
TBL,9-12 ft,0.0971428571428571,0.1257142857142857,0.2149921337034213
TBL,12-15 ft,0.10828025477707,0.0764331210191082,0.2085985634944435
TBL,15-18 ft,0.0851063829787234,0.0780141843971631,0.1955342241988078
TBL,18-21 ft,0.0390625,0.078125,0.1911699597523295
TBL,21-24 ft,0.0625,0.1171875,0.1959841844069211
TBL,24-27 ft,0.0909090909090909,0.0378787878787878,0.1955305279462044
TBL,27-30 ft,0.0840336134453781,0.0504201680672268,0.1918460044918295
TBL,30-33 ft,0.0405405405405405,0.081081081081081,0.1798510150158017
TBL,33-36 ft,0.0287769784172661,0.1007194244604316,0.1758227303880538
TBL,36-39 ft,0.0521739130434782,0.0521739130434782,0.1892109722076919
TBL,39-42 ft,0.0172413793103448,0.043103448275862,0.1821118261802267
TBL,42-45 ft,0.0104166666666666,0.0729166666666666,0.174613015840555
TBL,45-48 ft,0.017391304347826,0.0695652173913043,0.1631306481548726
TBL,48-51 ft,0.0291970802919708,0.0291970802919708,0.184222685479716
TBL,51-54 ft,0.0082644628099173,0.0909090909090909,0.17079010909642
TBL,54-57 ft,0.0147058823529411,0.0367647058823529,0.1845545286144094
TBL,57-60 ft,0.0155038759689922,0.0542635658914728,0.1765286798608058
TBL,60-63 ft,0.0277777777777777,0.0416666666666666,0.1719082293681414
TBL,63-66 ft,0.0,0.0178571428571428,0.1767669198125004
TBL,66-69 ft,0.0,0.0344827586206896,0.1536475609914699
TOR,0-6 ft,0.1,0.225,0.2442211456007594
TOR,6-9 ft,0.0638297872340425,0.1418439716312056,0.2244653060670102
TOR,9-12 ft,0.1094527363184079,0.1094527363184079,0.2149921337034213
TOR,12-15 ft,0.096551724137931,0.0896551724137931,0.2085985634944435
TOR,15-18 ft,0.0947368421052631,0.0789473684210526,0.1955342241988078
TOR,18-21 ft,0.079646017699115,0.0530973451327433,0.1911699597523295
TOR,21-24 ft,0.1041666666666666,0.0486111111111111,0.1959841844069211
TOR,24-27 ft,0.0691823899371069,0.050314465408805,0.1955305279462044
TOR,27-30 ft,0.1428571428571428,0.0428571428571428,0.1918460044918295
TOR,30-33 ft,0.0308641975308641,0.037037037037037,0.1798510150158017
TOR,33-36 ft,0.0601503759398496,0.0225563909774436,0.1758227303880538
TOR,36-39 ft,0.036036036036036,0.054054054054054,0.1892109722076919
TOR,39-42 ft,0.046875,0.03125,0.1821118261802267
TOR,42-45 ft,0.0404624277456647,0.0173410404624277,0.174613015840555
TOR,45-48 ft,0.0157480314960629,0.0236220472440944,0.1631306481548726
TOR,48-51 ft,0.0353982300884955,0.0884955752212389,0.184222685479716
TOR,51-54 ft,0.043859649122807,0.0614035087719298,0.17079010909642
TOR,54-57 ft,0.0,0.0,0.1845545286144094
TOR,57-60 ft,0.0176991150442477,0.0619469026548672,0.1765286798608058
TOR,60-63 ft,0.0131578947368421,0.0526315789473684,0.1719082293681414
TOR,63-66 ft,0.0,0.0172413793103448,0.1767669198125004
TOR,66-69 ft,0.0068906115417743,0.0482342807924203,0.1536475609914699
VAN,0-6 ft,0.2962962962962963,0.074074074074074,0.2442211456007594
VAN,6-9 ft,0.1129032258064516,0.1451612903225806,0.2244653060670102
VAN,9-12 ft,0.1428571428571428,0.0666666666666666,0.2149921337034213
VAN,12-15 ft,0.1223021582733813,0.0935251798561151,0.2085985634944435
VAN,15-18 ft,0.1056338028169014,0.0633802816901408,0.1955342241988078
VAN,18-21 ft,0.0952380952380952,0.0571428571428571,0.1911699597523295
VAN,21-24 ft,0.0378787878787878,0.0378787878787878,0.1959841844069211
VAN,24-27 ft,0.1111111111111111,0.0854700854700854,0.1955305279462044
VAN,27-30 ft,0.0666666666666666,0.0333333333333333,0.1918460044918295
VAN,30-33 ft,0.040983606557377,0.081967213114754,0.1798510150158017
VAN,33-36 ft,0.0252100840336134,0.0756302521008403,0.1758227303880538
VAN,36-39 ft,0.0272727272727272,0.0818181818181818,0.1892109722076919
VAN,39-42 ft,0.0097087378640776,0.0776699029126213,0.1821118261802267
VAN,42-45 ft,0.02,0.04,0.174613015840555
VAN,45-48 ft,0.0329670329670329,0.0219780219780219,0.1631306481548726
VAN,48-51 ft,0.0490196078431372,0.0392156862745098,0.184222685479716
VAN,51-54 ft,0.0188679245283018,0.0094339622641509,0.17079010909642
VAN,54-57 ft,0.0223880597014925,0.0597014925373134,0.1845545286144094
VAN,57-60 ft,0.0112359550561797,0.0561797752808988,0.1765286798608058
VAN,60-63 ft,0.0166666666666666,0.05,0.1719082293681414
VAN,63-66 ft,0.0483870967741935,0.0483870967741935,0.1767669198125004
VAN,66-69 ft,0.0256410256410256,0.0,0.1536475609914699
VGK,0-6 ft,0.1363636363636363,0.2954545454545454,0.2442211456007594
VGK,6-9 ft,0.1590909090909091,0.1193181818181818,0.2244653060670102
VGK,9-12 ft,0.1176470588235294,0.0823529411764705,0.2149921337034213
VGK,12-15 ft,0.1136363636363636,0.053030303030303,0.2085985634944435
VGK,15-18 ft,0.1212121212121212,0.053030303030303,0.1955342241988078
VGK,18-21 ft,0.0878378378378378,0.1216216216216216,0.1911699597523295
VGK,21-24 ft,0.072463768115942,0.0434782608695652,0.1959841844069211
VGK,24-27 ft,0.0769230769230769,0.0419580419580419,0.1955305279462044
VGK,27-30 ft,0.0615384615384615,0.0615384615384615,0.1918460044918295
VGK,30-33 ft,0.0833333333333333,0.075,0.1798510150158017
VGK,33-36 ft,0.024793388429752,0.024793388429752,0.1758227303880538
VGK,36-39 ft,0.05,0.05,0.1892109722076919
VGK,39-42 ft,0.040650406504065,0.073170731707317,0.1821118261802267
VGK,42-45 ft,0.057471264367816,0.0459770114942528,0.174613015840555
VGK,45-48 ft,0.024793388429752,0.0413223140495867,0.1631306481548726
VGK,48-51 ft,0.016,0.064,0.184222685479716
VGK,51-54 ft,0.0080645161290322,0.0564516129032258,0.17079010909642
VGK,54-57 ft,0.0075187969924812,0.0601503759398496,0.1845545286144094
VGK,57-60 ft,0.0,0.0596026490066225,0.1765286798608058
VGK,60-63 ft,0.0198019801980198,0.0495049504950495,0.1719082293681414
VGK,63-66 ft,0.0,0.0483870967741935,0.1767669198125004
VGK,66-69 ft,0.0,0.0,0.1536475609914699
WPG,0-6 ft,0.238095238095238,0.0952380952380952,0.2442211456007594
WPG,6-9 ft,0.1,0.1142857142857142,0.2244653060670102
WPG,9-12 ft,0.0804597701149425,0.1034482758620689,0.2149921337034213
WPG,12-15 ft,0.0753424657534246,0.1301369863013698,0.2085985634944435
WPG,15-18 ft,0.0434782608695652,0.0683229813664596,0.1955342241988078
WPG,18-21 ft,0.086092715231788,0.0794701986754966,0.1911699597523295
WPG,21-24 ft,0.065040650406504,0.056910569105691,0.1959841844069211
WPG,24-27 ft,0.0775193798449612,0.0697674418604651,0.1955305279462044
WPG,27-30 ft,0.0826446280991735,0.0495867768595041,0.1918460044918295
WPG,30-33 ft,0.063953488372093,0.0348837209302325,0.1798510150158017
WPG,33-36 ft,0.056910569105691,0.040650406504065,0.1758227303880538
WPG,36-39 ft,0.0169491525423728,0.0677966101694915,0.1892109722076919
WPG,39-42 ft,0.009090909090909,0.0636363636363636,0.1821118261802267
WPG,42-45 ft,0.0588235294117647,0.0294117647058823,0.174613015840555
WPG,45-48 ft,0.0,0.056338028169014,0.1631306481548726
WPG,48-51 ft,0.0202020202020202,0.0707070707070707,0.184222685479716
WPG,51-54 ft,0.0092592592592592,0.0462962962962962,0.17079010909642
WPG,54-57 ft,0.0209790209790209,0.0419580419580419,0.1845545286144094
WPG,57-60 ft,0.0163934426229508,0.0491803278688524,0.1765286798608058
WPG,60-63 ft,0.032258064516129,0.032258064516129,0.1719082293681414
WPG,63-66 ft,0.027027027027027,0.0405405405405405,0.1767669198125004
WPG,66-69 ft,0.0,0.0681818181818181,0.1536475609914699
WSH,0-6 ft,0.1687898089171974,0.1560509554140127,0.2442211456007594
WSH,6-9 ft,0.1428571428571428,0.2071428571428571,0.2244653060670102
WSH,9-12 ft,0.0909090909090909,0.109090909090909,0.2149921337034213
WSH,12-15 ft,0.1098265895953757,0.0693641618497109,0.2085985634944435
WSH,15-18 ft,0.0820895522388059,0.0746268656716417,0.1955342241988078
WSH,18-21 ft,0.104,0.056,0.1911699597523295
WSH,21-24 ft,0.1176470588235294,0.0941176470588235,0.1959841844069211
WSH,24-27 ft,0.088235294117647,0.0686274509803921,0.1955305279462044
WSH,27-30 ft,0.0826446280991735,0.0578512396694214,0.1918460044918295
WSH,30-33 ft,0.0817610062893081,0.0628930817610062,0.1798510150158017
WSH,33-36 ft,0.0434782608695652,0.0797101449275362,0.1758227303880538
WSH,36-39 ft,0.0352112676056338,0.0492957746478873,0.1892109722076919
WSH,39-42 ft,0.0266666666666666,0.04,0.1821118261802267
WSH,42-45 ft,0.0743801652892562,0.0909090909090909,0.174613015840555
WSH,45-48 ft,0.0062893081761006,0.0691823899371069,0.1631306481548726
WSH,48-51 ft,0.0,0.0555555555555555,0.184222685479716
WSH,51-54 ft,0.0,0.0495049504950495,0.17079010909642
WSH,54-57 ft,0.0084033613445378,0.0756302521008403,0.1845545286144094
WSH,57-60 ft,0.0,0.0642201834862385,0.1765286798608058
WSH,60-63 ft,0.0,0.0172413793103448,0.1719082293681414
WSH,63-66 ft,0.0,0.0188679245283018,0.1767669198125004
WSH,66-69 ft,0.0068906115417743,0.0482342807924203,0.1536475609914699
